id;building_id;item_id;summ;type
341;47;2;21368;мес€ц
342;48;2;35722;мес€ц
343;49;2;54492;мес€ц
344;50;2;22607;мес€ц
345;51;2;24436;мес€ц
346;52;2;34092;мес€ц
347;53;2;22929.8;мес€ц
348;54;2;96739;мес€ц
349;55;2;74131;мес€ц
350;56;2;151570;мес€ц
351;57;2;61502;мес€ц
352;58;2;24335;мес€ц
353;59;2;24188;мес€ц
354;60;2;16420.6;мес€ц
355;61;2;23919;мес€ц
356;62;2;76491;мес€ц
357;63;2;67975;мес€ц
358;64;2;62723;мес€ц
359;65;2;33786;мес€ц
360;66;2;125502;мес€ц
361;67;2;33779;мес€ц
362;68;2;37323;мес€ц
363;69;2;36609;мес€ц
364;70;2;34342.6;мес€ц
365;71;2;74378;мес€ц
366;72;2;83279;мес€ц
367;73;2;259675;мес€ц
368;74;2;90778;мес€ц
369;75;2;39899.2;мес€ц
370;76;2;39167.4;мес€ц
371;77;2;38336;мес€ц
372;78;2;43503;мес€ц
373;79;2;104164;мес€ц
374;80;2;104853;мес€ц
375;81;2;29426;мес€ц
376;82;2;39729;мес€ц
377;83;2;31466;мес€ц
378;84;2;28228;мес€ц
379;85;2;35615;мес€ц
380;86;2;39361;мес€ц
381;87;2;40826.5;мес€ц
382;88;2;18468;мес€ц
383;89;2;19196;мес€ц
384;90;2;38960;мес€ц
385;91;2;98278.4;мес€ц
386;92;2;33688.1;мес€ц
387;93;2;32110;мес€ц
388;94;2;37344;мес€ц
389;95;2;72316.6;мес€ц
390;96;2;31683.8;мес€ц
391;97;2;30932;мес€ц
392;98;2;124727;мес€ц
393;99;2;43092;мес€ц
394;100;2;39635;мес€ц
395;101;2;42630;мес€ц
396;102;2;21385;мес€ц
397;103;2;75969.5;мес€ц
398;104;2;114169.2;мес€ц
399;105;2;40022;мес€ц
400;106;2;39678.2;мес€ц
401;107;2;30313;мес€ц
402;108;2;30983;мес€ц
403;109;2;36079;мес€ц
404;110;2;30330;мес€ц
405;111;2;133089;мес€ц
406;112;2;83833;мес€ц
407;113;2;78007.2;мес€ц
408;114;2;17295;мес€ц
409;115;2;15087;мес€ц
410;116;2;18356;мес€ц
411;117;2;14324;мес€ц
412;118;2;47613;мес€ц
413;119;2;23529;мес€ц
414;120;2;17316;мес€ц
415;121;2;16810;мес€ц
416;122;2;24224;мес€ц
417;123;2;21437;мес€ц
418;124;2;31210;мес€ц
419;125;2;33552;мес€ц
420;126;2;59786;мес€ц
421;127;2;103404;мес€ц
422;128;2;64399;мес€ц
423;129;2;109358;мес€ц
424;130;2;33625;мес€ц
425;131;2;51812;мес€ц
426;132;2;103364;мес€ц
427;133;2;50991;мес€ц
428;134;2;36486;мес€ц
429;135;2;57100.6;мес€ц
430;136;2;194879;мес€ц
431;137;2;51920;мес€ц
432;138;2;200116.1;мес€ц
433;139;2;49501;мес€ц
434;140;2;200518;мес€ц
435;141;2;42143;мес€ц
436;142;2;31666;мес€ц
437;143;2;31150;мес€ц
438;144;2;31604;мес€ц
439;145;2;81614.8;мес€ц
440;146;2;45536.7;мес€ц
441;147;2;43849;мес€ц
442;148;2;114169.3;мес€ц
443;149;2;88175.4;мес€ц
444;150;2;32228;мес€ц
445;151;2;113547.4;мес€ц
446;152;2;19315;мес€ц
447;153;2;25228;мес€ц
448;154;2;110108;мес€ц
449;155;2;126379;мес€ц
450;156;2;78125;мес€ц
451;157;2;122768;мес€ц
452;158;2;84859.5;мес€ц
453;159;2;83937;мес€ц
454;160;2;43227;мес€ц
455;161;2;84075;мес€ц
456;162;2;48223.2;мес€ц
457;163;2;98821;мес€ц
458;164;2;138376;мес€ц
459;165;2;65999;мес€ц
460;166;2;41224;мес€ц
461;167;2;62731;мес€ц
462;168;2;62775;мес€ц
463;169;2;83053;мес€ц
464;170;2;62364;мес€ц
465;171;2;100090;мес€ц
466;172;2;63318;мес€ц
467;173;2;63770;мес€ц
468;174;2;30585;мес€ц
469;175;2;31952;мес€ц
470;176;2;33272;мес€ц
471;177;2;46977;мес€ц
472;178;2;112556.8;мес€ц
473;179;2;59090;мес€ц
474;180;2;57082;мес€ц
475;181;2;47596;мес€ц
476;182;2;114329;мес€ц
477;183;2;42715;мес€ц
478;184;2;34782;мес€ц
479;185;2;162068;мес€ц
480;186;2;38545;мес€ц
481;187;2;34121.6;мес€ц
482;188;2;54779;мес€ц
483;189;2;55399;мес€ц
484;190;2;0;мес€ц
485;191;2;38356;мес€ц
486;192;2;36381;мес€ц
487;193;2;36831;мес€ц
488;194;2;85364;мес€ц
489;195;2;53368;мес€ц
490;196;2;57395;мес€ц
491;197;2;76501;мес€ц
492;198;2;54517;мес€ц
493;199;2;35782;мес€ц
494;200;2;150661;мес€ц
495;201;2;82420;мес€ц
496;202;2;146691;мес€ц
497;203;2;49767.9;мес€ц
498;204;2;166978.5;мес€ц
499;205;2;44920;мес€ц
500;206;2;45471;мес€ц
501;207;2;115632;мес€ц
502;208;2;58515.2;мес€ц
503;209;2;54749;мес€ц
504;210;2;52948;мес€ц
505;211;2;84790.2;мес€ц
506;212;2;57093.3;мес€ц
507;213;2;52761.9;мес€ц
508;214;2;56831.9;мес€ц
509;215;2;35093.4;мес€ц
510;216;2;84261;мес€ц
511;217;2;49404;мес€ц
512;218;2;36155;мес€ц
513;219;2;49523;мес€ц
514;220;2;63556;мес€ц
515;221;2;30834;мес€ц
516;222;2;61146.1;мес€ц
517;223;2;12380;мес€ц
518;224;2;32181;мес€ц
519;225;2;92833;мес€ц
520;226;2;29589;мес€ц
521;227;2;104426.4;мес€ц
522;228;2;37118;мес€ц
523;229;2;35278;мес€ц
524;230;2;2932;мес€ц
525;231;2;49682;мес€ц
526;232;2;29890;мес€ц
527;233;2;42054;мес€ц
528;234;2;49337;мес€ц
529;235;2;25221;мес€ц
530;236;2;29766;мес€ц
531;237;2;30823.8;мес€ц
532;238;2;112069;мес€ц
533;239;2;34155;мес€ц
534;240;2;41136;мес€ц
535;241;2;41035;мес€ц
536;242;2;40993;мес€ц
537;243;2;26626.8;мес€ц
538;244;2;82279.9;мес€ц
539;245;2;99526;мес€ц
540;246;2;102730.9;мес€ц
541;247;2;33156;мес€ц
542;248;2;101881.7;мес€ц
543;249;2;33089;мес€ц
544;250;2;87516;мес€ц
545;251;2;102641;мес€ц
546;252;2;96582;мес€ц
547;253;2;15229;мес€ц
548;254;2;20612;мес€ц
549;255;2;23666;мес€ц
550;256;2;25030;мес€ц
551;257;2;20613;мес€ц
552;258;2;22780;мес€ц
553;259;2;20264;мес€ц
554;260;2;18945;мес€ц
555;261;2;24411;мес€ц
556;262;2;19709;мес€ц
557;263;2;24092;мес€ц
558;264;2;25484;мес€ц
559;265;2;26156;мес€ц
560;266;2;20823;мес€ц
561;267;2;25263;мес€ц
562;268;2;22737;мес€ц
563;269;2;20829;мес€ц
564;270;2;21699;мес€ц
565;271;2;18124.8;мес€ц
566;272;2;69692;мес€ц
567;273;2;237392;мес€ц
568;274;2;24584;мес€ц
569;275;2;21264;мес€ц
570;276;2;80209;мес€ц
571;277;2;47402;мес€ц
572;278;2;112616;мес€ц
573;279;2;54773;мес€ц
574;280;2;210668;мес€ц
575;281;2;66488;мес€ц
576;282;2;48241;мес€ц
577;283;2;104694.2;мес€ц
578;284;2;28030;мес€ц
579;285;2;31490;мес€ц
580;286;2;30360;мес€ц
581;287;2;50136;мес€ц
582;288;2;61977;мес€ц
583;289;2;80830;мес€ц
584;290;2;53022;мес€ц
585;291;2;78106;мес€ц
586;292;2;63724;мес€ц
587;293;2;87054;мес€ц
588;294;2;95612;мес€ц
